country,cluster_id,year.x,year.y,lat,lon,lsms_id.x,lsms_id.y,diff_of_index,index_of_diff,asset_index.x,asset_index.y,n
et,04091001104,2011,2015,8.65230864709,40.6178499401,et_04091001104_2011,et_04091001104_2015,1.269240521763945,0.8550640179676418,-1.915417135279036,-0.6461766135150909,5
et,04100500403,2011,2015,9.18318556596,42.0206883252,et_04100500403_2011,et_04100500403_2015,0.676714404448792,1.1224005171138085,-2.285563954663091,-1.6088495502142988,7
et,04100903605,2011,2015,9.37406026468,41.5884594299,et_04100903605_2011,et_04100903605_2015,1.1942227040354334,2.207295707658617,-2.15649847634126,-0.9622757723058261,4
et,04101600104,2011,2015,9.15085019484,41.8440556364,et_04101600104_2011,et_04101600104_2015,1.351615744986996,1.2111971881103154,-0.5651962322969413,0.7864195126900547,5
et,04110801402,2011,2015,7.25898773197,40.6146233206,et_04110801402_2011,et_04110801402_2015,0.5050393328372973,0.8213488602045543,-1.3783567626667301,-0.8733174298294328,9
et,04111200402,2011,2015,6.45050353832,39.8802730059,et_04111200402_2011,et_04111200402_2015,-0.06983176783201299,0.12951435323712165,-2.0946026877175727,-2.164434455549586,3
et,04111800102,2011,2015,7.43667493729,41.0005629905,et_04111800102_2011,et_04111800102_2015,-0.1187474501360345,-0.4048077419118712,-1.8573937315448865,-1.976141181680921,4
et,04120602801,2011,2015,5.59568261612,38.2936192427,et_04120602801_2011,et_04120602801_2015,0.4050066735367479,0.18288177136731842,-2.094371068652968,-1.6893643951162198,7
et,04121101301,2011,2015,4.2353408846,38.3859126851,et_04121101301_2011,et_04121101301_2015,0.1291188081997749,-0.18941579161649957,-2.4634517780789977,-2.334332969879223,4
et,04121600101,2011,2015,3.98293116381,38.4913678893,et_04121600101_2011,et_04121600101_2015,-0.030948836645521925,-0.45057072701289597,-2.2938023989853327,-2.324751235630855,9
et,04130201103,2011,2015,8.72042840438,37.9114568164,et_04130201103_2011,et_04130201103_2015,0.7560319645916712,0.29963048145941884,-1.8168637922267177,-1.0608318276350466,3
et,04130500102,2011,2015,8.82166292432,38.3469271782,et_04130500102_2011,et_04130500102_2015,-0.3430480928914324,0.3865530669850974,0.018311267815905436,-0.324736825075527,3
et,04130600204,2011,2015,8.97089097863,38.6245563425,et_04130600204_2011,et_04130600204_2015,1.1409211372499808,1.0331211145646666,-1.5398717706705405,-0.39895063342055975,4
et,04130901003,2011,2015,8.6361010406,38.1519350254,et_04130901003_2011,et_04130901003_2015,0.568761904943215,0.5136476442842092,-1.8697308235285512,-1.3009689185853361,6
et,04140202701,2011,2015,6.37589338272,38.7269447069,et_04140202701_2011,et_04140202701_2015,-0.14535830510572403,0.5453454893425347,-2.133452718670616,-2.27881102377634,3
et,04140501906,2011,2015,5.52570615347,38.7620666963,et_04140501906_2011,et_04140501906_2015,-0.30807161791514115,0.16881104077873518,-1.4934385511343684,-1.8015101690495097,5
et,04140900501,2011,2015,6.02435784991,38.3413616597,et_04140900501_2011,et_04140900501_2015,-0.5839547635295897,-0.010959925857804885,-1.704757928341407,-2.288712691870997,4
et,04170301901,2011,2015,7.34918791893,38.804934007599996,et_04170301901_2011,et_04170301901_2015,0.4275891930424464,0.5150852335323578,-1.6704319207150962,-1.2428427276726497,8
et,04170700204,2011,2015,7.00349013971,39.1624463866,et_04170700204_2011,et_04170700204_2015,-0.05595527907549003,0.08245310593684528,-1.2579774151265284,-1.3139326942020184,4
et,04171200807,2011,2015,7.26850368689,38.6020916798,et_04171200807_2011,et_04171200807_2015,-0.20194929011998775,0.7323005545797978,-1.7955853651881608,-1.9975346553081486,3
et,04180301004,2011,2015,9.01530115929,35.046540828,et_04180301004_2011,et_04180301004_2015,0.0504904951672873,0.04950308732406031,-1.6019471676787203,-1.551456672511433,5
et,04180701106,2011,2015,8.61492078832,34.6514363264,et_04180701106_2011,et_04180701106_2015,0.7753243851573829,0.4676724097913764,-1.7991524800972418,-1.0238280949398588,6
et,04190100103,2011,2015,9.7591387282,37.044814049,et_04190100103_2011,et_04190100103_2015,0.2454116964902709,0.7315473928207885,-1.795338261504516,-1.5499265650142449,4
et,04190400101,2011,2015,9.79007481406,37.5059416726,et_04190400101_2011,et_04190400101_2015,0.6292177885787946,0.012921499565956462,-2.1652681101757505,-1.5360503215969559,8
et,04190800704,2011,2015,9.8440806253,37.1271346597,et_04190800704_2011,et_04190800704_2015,0.35692198258211244,0.8226693432741605,-2.176412875388182,-1.8194908928060696,5
et,05010200101,2011,2015,10.4624101433,42.2434955736,et_05010200101_2011,et_05010200101_2015,0.7152823467958965,1.1295640149711357,-1.5737226735635563,-0.8584403267676597,4
et,05010202401,2011,2015,9.91264985014,42.4725493546,et_05010202401_2011,et_05010202401_2015,0.2738937158142373,1.3152564591280538,-2.130794656179803,-1.8569009403655654,6
et,05010401102,2011,2015,9.55152585441,41.358379098,et_05010401102_2011,et_05010401102_2015,0.2769601602121514,0.17203183116074863,-1.3054013978733034,-1.028441237661152,4
et,05010401701,2011,2015,9.56552604162,41.5231782329,et_05010401701_2011,et_05010401701_2015,-0.060938225706448135,0.7523242911841566,-1.8209835209875795,-1.8819217466940277,3
et,05020201001,2011,2015,9.23975778401,42.4419432943,et_05020201001_2011,et_05020201001_2015,0.52701201953479615,-0.22145389869007265,-2.5151070805942455,-1.9880950610594494,3
et,05020408901,2011,2015,9.40053953262,42.8585260119,et_05020408901_2011,et_05020408901_2015,0.16743446826444974,0.5646709977713477,-1.6146876376699648,-1.447253169405515,3
et,05020600901,2011,2015,9.32340832355,43.2784116014,et_05020600901_2011,et_05020600901_2015,0.06701730704463685,0.45349540053337006,-2.2561967492230344,-2.1891794421783977,4
et,05020603803,2011,2015,9.03815880629,43.2537267944,et_05020603803_2011,et_05020603803_2015,1.2393581746481364,1.6997103262165894,-2.3040979912136117,-1.0647398165654756,3
et,05020709201,2011,2015,8.84297565884,43.8706580642,et_05020709201_2011,et_05020709201_2015,0.3348689365288995,0.8661631666738336,-1.2353115003871715,-0.900442563858272,3
et,05090100907,2011,2015,5.22299798627,41.0432055896,et_05090100907_2011,et_05090100907_2015,-0.09969546750211694,0.40328154559158846,-2.1391666852381634,-2.2388621527402806,4
et,05090201201,2011,2015,4.28184427047,41.8750755047,et_05090201201_2011,et_05090201201_2015,0.6710762341831243,1.4791431994120148,-1.858928842548863,-1.1878526083657388,3
et,05090302001,2011,2015,3.8642429801,39.1013658071,et_05090302001_2011,et_05090302001_2015,1.1917052859565542,1.3060066563358608,-2.4652170986216997,-1.2735118126651457,7
et,05090303404,2011,2015,3.54993726091,39.1842340255,et_05090303404_2011,et_05090303404_2015,1.125178911241544,1.5249468055109425,-2.5053159417074533,-1.380137030465909,5
et,05090400101,2011,2015,4.76768886663,39.2697492018,et_05090400101_2011,et_05090400101_2015,-0.9001165801725969,0.09851955034056167,-0.7244461630016115,-1.6245627431742085,3
et,05090400302,2011,2015,4.87905466671,39.1953787271,et_05090400302_2011,et_05090400302_2015,0.3148986083339992,-0.051389621304887265,-2.284039140257624,-1.969140531923625,5
et,06020100802,2011,2015,11.3323287202,36.2720183518,et_06020100802_2011,et_06020100802_2015,0.8149968772388556,1.7177700068177744,-1.747609432461329,-0.9326125552224732,4
et,06030100301,2011,2015,10.4822087828,34.7861778123,et_06030100301_2011,et_06030100301_2015,0.21133263660640414,0.8526591215913785,-1.4788697375309827,-1.2675371009245786,7
et,06030304202,2011,2015,10.081237992,34.6831901825,et_06030304202_2011,et_06030304202_2015,1.2460322650570528,0.9232617152749931,-1.9720742901649577,-0.7260420251079049,4
et,06030500102,2011,2015,9.73443000378,34.7285555289,et_06030500102_2011,et_06030500102_2015,0.27366269035572416,0.48142665491864856,-0.1675221619550693,0.10614052840065488,4
et,06030503003,2011,2015,9.74422788621,34.7872968911,et_06030503003_2011,et_06030503003_2015,0.2692522656626574,-0.1756471839864036,-1.5550289247126927,-1.2857766590500352,6
et,06040500203,2011,2015,9.39137371981,36.2194348147,et_06040500203_2011,et_06040500203_2015,0.2425985990903201,0.08696089444084097,-2.2445833641586255,-2.0019847650683054,5
et,06060800402,2011,2015,9.62033298025,34.5342648788,et_06060800402_2011,et_06060800402_2015,0.18230506008625796,0.3343342274978662,-2.211377708997554,-2.029072648911296,10
et,06060801401,2011,2015,9.47651243141,34.4209015528,et_06060801401_2011,et_06060801401_2015,0.5509500303822481,0.7718050695708804,-1.9273688068927253,-1.3764187765104772,5
